artista_id;pais_de_origen;area_de_origen
93;Argentina;Buenos Aires
153;Argentina;NULL
255;Argentina;Buenos Aires
291;Argentina;Buenos Aires
887;Argentina;NULL
15;Argentina;NULL
711;Australia;Melbourne
861;Australia;Perth
554;Australia;Sydney
98;Colombia;Bewdley
351;Spain;NULL
401;Spain;NULL
374;Spain;NULL
434;Spain;Valladolid
726;United States;NULL
846;United States;New Jersey
891;United States;Massachusetts
101;Suecia;NULL
421;Algeria;Oran
230;Argentina;NULL
168;Argentina;Argentina
67;Argentina;Buenos Aires
219;Argentina;Monte Grande
294;Argentina;NULL
20;Argentina;NULL
705;Argentina;Buenos Aires
238;Argentina;Buenos Aires
108;Argentina;Buenos Aires
292;Argentina;Rosario
75;Argentina;Buenos Aires
260;Argentina;NULL
285;Argentina;Mar del Plata
252;Argentina;Córdoba
257;Argentina;Quilmes
59;Argentina;Lanús
534;Argentina;Buenos Aires
149;Argentina;Buenos Aires
669;Argentina;Formosa
737;United States;Charleston
758;Australia;Sydney
672;Australia;Sydney
864;Australia;Sydney
596;Australia;Melbourne
751;Australia;Mooloolaba
80;Austria;Wien
76;Austria;Wien
494;Spain;Mallorca
105;Belgium;Sint-Niklaas
525;Belgium;NULL
810;United States;Boston
624;United States;Boston
139;Brazil;Rio de Janeiro
311;Brazil;Rio Grande
115;Brazil;NULL
601;Canada;Norwood
676;Canada;Toronto
774;Canada;Canada
566;Canada;Vancouver
24;Canada;Dundas
684;Canada;Kamloops
45;Canada;NULL
652;Canada;Toronto
22;Canada;NULL
688;Canada;Englewood
60;Canada;Montréal
781;Canada;Windsor
591;Canada;Montréal
610;Canada;Hanna
471;Canada;Ottawa
150;Canada;Burlington
660;NULL;NULL
523;NULL;NULL
277;Spain;Vilassar de Mar
195;Chile;Santiago
498;Chile;NULL
240;Chile;Punta Arenas
729;Chile;NULL
125;Chile;Santiago
188;Colombia;Medellín
693;Colombia;Bogotá
197;Colombia;Antioquia
262;Colombia;Cali
276;Colombia;Cali
267;Colombia;NULL
227;Colombia;Barranquilla
270;Colombia;Pereira
236;Colombia;Cali
162;Colombia;Medellín
189;Colombia;Medellín
179;Colombia;NULL
