artista_id,artista
1,Ladytron
2,"Flying Lotus"
3,WhoMadeWho
4,BICEP
5,"Jamie xx"
6,Bonobo
7,Metronomy
8,Burial
9,"LCD Soundsystem"
10,"Joy Orbison"
11,Rhye
12,Justice
13,Weval
14,Röyksopp
15,"Peces Raros"
16,"Nightmares On Wax"
17,"Nosaj Thing"
18,"Ross from Friends"
19,"Christian Löffler"
20,LOUTA
21,SBTRKT
22,Daphni
23,Clark
24,Caribou
25,Warpaint
26,Romare
27,"Floating Points"
28,Moderat
29,Morcheeba
30,Tycho
31,Faithless
32,Mogwai
33,"Portico Quartet"
34,"DJ Koze"
35,Björk
36,"Max Cooper"
37,"Booka Shade"
38,Manybeat
39,Jimmix
40,DARKSIDE
41,Rone
42,Moby
43,MËSTIZA
44,"The Chemical Brothers"
45,"Jacques Greene"
46,"Leon Vynehall"
47,"Jon Hopkins"
48,"Little Dragon"
49,"Rival Consoles"
50,Télépopmusik
51,"Mount Kimbie"
52,E.VAX
53,"Gold Panda"
54,"Yakamoto Kotzuga"
55,Populous
56,Maga
57,"Sneaker Pimps"
58,Pejzaż
59,Babasonicos
60,Tiga
61,"Totally Enormous Extinct Dinosaurs"
62,Kixnare
63,"Will C"
64,Modeselektor
65,"Various Artists"
66,"DJ Tennis"
67,Miranda!
68,"Gabriel Dominguez"
69,"Groove Armada"
70,"The Crystal Method"
71,"Marco Tegui"
72,"Nils Frahm"
73,"Hot Chip"
74,Band&dos
75,"Juana Molina"
76,Tosca
77,P.A.F.F.
78,Bibio
79,"George FitzGerald"
80,HVOB
81,Recondite
82,Jasmon
83,F.S.Blumm
84,"Thom Yorke"
85,"Artury Pepper"
86,"Wax Tailor"
87,"Gospel of Dance"
88,"Mano Le Tough"
89,GusGus
90,"Crazy P"
91,"Four Tet"
92,"St Germain"
93,"Proyecto Gomez Casa"
94,MORVN
95,BOUE
96,Tricky
97,Vitalic
98,Quantic
99,"Zero 7"
100,"Daniel Avery"
101,Gidge
102,"Ulrich Schnauss"
103,Dauwd
104,"Sébastien Tellier"
105,Hooverphonic
106,trentemøller
107,Plaid
108,CA7RIEL
109,"Andrea Sertori"
110,"Paul Kalkbrenner"
111,"Genio Producer"
112,"Joe Goddard"
113,"Toda la Vida"
114,UNKLE
115,"Tony Guerra"
116,RYSY
117,"Victor Porfidio"
118,"Clap! Clap!"
119,"Broken Lip"
120,"Axel Boman"
121,"Basement Jaxx"
122,"Sunday Noise"
123,Orbital
124,Toro
125,"Javiera Mena"
126,"Hercules & Love Affair"
127,Blockhead
128,"Miss Kittin"
129,Skalpel
130,Digitalism
131,"Global Underground"
132,"Andy Stott"
133,Underworld
134,Angelos
135,"Ray MD"
136,"Alberto Dimeo"
137,"Edu Linares"
138,"The Knife"
139,"Amon Tobin"
140,"Carlos Herrera Music"
141,"Fever Ray"
142,Guts
143,Air
144,"Califato ¾"
145,Âme
146,"Róisín Murphy"
147,"Aldo Cadiz"
148,KLANGSTEIN
149,"Clara Cava"
150,"Jeff Danna"
151,"Lorenzo Soria"
152,"Hector Rios Vnzl"
153,"DJs Pareja"
154,"JOLLY (PE)"
155,"Jens Buchert"
156,Dardust
157,Emisound
158,Rosalie.
159,Talisto
160,"Bad Bunny"
161,"Rauw Alejandro"
162,Feid
163,"Becky G"
164,"Cris Mj"
165,"Kodak Black"
166,Farruko
167,Ozuna
168,Bizarrap
169,"KAROL G"
170,Aventura
171,"El Alfa"
172,"Sniper Gang"
173,"Manuel Turizo"
174,Mora
