artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
Noah Gundersen,United States,Olympia,1989-05-31,NULL,Actualidad
Skalpel,Poland,NULL,NULL,NULL,Actualidad
Celtian,Spain,NULL,NULL,2017,Actualidad
Nickelback,Canada,Hanna,NULL,1995,Actualidad
Drugdealer,Los Angeles,NULL,NULL,NULL,Actualidad
Klangstein,NULL,NULL,NULL,NULL,Actualidad
John Fulford,NULL,NULL,NULL,NULL,Actualidad
Ayax y Prok,Spain,NULL,NULL,NULL,Actualidad
The Chemical Brothers,United Kingdom,Manchester,NULL,1989,Actualidad
Dante Alighieri,Italy,Firenze,1265,NULL,1321-09-14
Aaron Wheeler,NULL,NULL,NULL,NULL,Actualidad
La La Love You,Spain,NULL,NULL,NULL,Actualidad
Edurne,Spain,Collado Villalba,1985-12-22,NULL,Actualidad
Amistades Peligrosas,Spain,NULL,NULL,NULL,Actualidad
J Balvin,Colombia,Medellín,1985-05-07,NULL,Actualidad
Dekko,NULL,NULL,NULL,NULL,Actualidad
Vanesa Martín,Spain,Málaga,1980-11-14,NULL,Actualidad
La Vida Bohème,Venezuela,Caracas,NULL,2007,Actualidad
Mitchell Tenpenny,United States,Nashville,1989-08-17,NULL,Actualidad
Stephen King,United States,Portland,1947-09-21,NULL,Actualidad
K.Flay,United States,Wilmette,1985-06-30,NULL,Actualidad
Nach,Spain,Albacete,1974-10-01,NULL,Actualidad
The Crystal Method,Los Angeles,Las Vegas,NULL,1993,Actualidad
Saint Motel,United States,Los Angeles,NULL,2009,Actualidad
The Del‐Vikings,United States,Pittsburgh,NULL,1955,No activo
Ambkor,Spain,Barcelona,1989-04-02,NULL,Actualidad
Francesca Battistelli,United States,New York,1985-05-18,NULL,Actualidad
℃‐ute,Japan,NULL,NULL,2005-06-13,2017-06-12
Orbital,United Kingdom,Sevenoaks,NULL,1989,Actualidad
Pole,Germany,Düsseldorf,1967-02-18,NULL,Actualidad
Rebelution,United States,Isla Vista,NULL,2004,Actualidad
Tedeschi Trucks Band,United States,Jacksonville,NULL,2010,Actualidad
The Bones of J.R. Jones,New York,NULL,NULL,NULL,Actualidad
Funambulista,Spain,NULL,NULL,NULL,Actualidad
Sadness,United States,United States,NULL,2014,Actualidad
Toro y Moi,United States,Columbia,1986-11-07,NULL,Actualidad
Brett Eldredge,United States,Paris,1986-03-23,NULL,Actualidad
