artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
Arcy Drive,New York,NULL,NULL,NULL,Actualidad
Portugal. The Man,United States,Wasilla,NULL,2004,Actualidad
Talisto,Stockholm,NULL,NULL,NULL,Actualidad
Rayden,Spain,Alcalá de Henares,1985-07-30,NULL,Actualidad
No Vacation,United States,San Francisco,NULL,2015-02,Actualidad
Jesús Adrián Romero,Mexico,Hermosillo,1965-02-16,NULL,Actualidad
Moderat,Germany,Berlin,NULL,2002,Actualidad
Yung Beef,Spain,NULL,NULL,NULL,Actualidad
Sohodolls,United Kingdom,NULL,NULL,2003,Actualidad
Chris Lane,North Carolina,North Carolina,1984-11-09,NULL,Actualidad
Broken Lip,Spain,NULL,1986,NULL,Actualidad
Ryan Castro,Colombia,Medellín,1994-01-14,NULL,Actualidad
Myke Towers,Puerto Rico,Río Piedras,1994-01-15,NULL,Actualidad
La Pegatina,Spain,Montcada i Reixac,NULL,2003,Actualidad
Four Tet,United Kingdom,Putney,1977-09,NULL,Actualidad
Georgie Dann,Spain,Paris,1940-01-14,NULL,2021-11-03
YUNGBLUD,West Yorkshire,Doncaster,1997-08-05,NULL,Actualidad
Starset,United States,Columbus,NULL,2013,Actualidad
ivri,NULL,NULL,NULL,NULL,Actualidad
Black Label Society,United States,Los Angeles,NULL,1998,Actualidad
Belén Aguilera,Spain,Barcelona,1995-09-12,NULL,Actualidad
LCD Soundsystem,United States,New York,NULL,2001,Actualidad
Antonio José,Spain,Palma del Río,1995-01-02,NULL,Actualidad
Fortunate Youth,United States,NULL,NULL,NULL,Actualidad
Ben Rector,United States,Oklahoma City,1986-11-06,NULL,Actualidad
La Culpa,Comunidad Valenciana,NULL,NULL,NULL,Actualidad
Japanese Breakfast,United States,Philadelphia,NULL,2013,Actualidad
Dillon Carmichael,United States,Burgin,NULL,NULL,Actualidad
Booka Shade,Germany,NULL,NULL,NULL,Actualidad
J Álvarez,Puerto Rico,Río Piedras,1983-12-13,NULL,Actualidad
Bejo,Spain,Santa Cruz de Tenerife,1994-03-14,NULL,Actualidad
Lunay,Puerto Rico,Corozal,2000-10-04,NULL,Actualidad
Conchita,Spain,Helsinki,1980-03-03,NULL,Actualidad
Hozier,Ireland,Bray,1990-03-17,NULL,Actualidad
Malú,Spain,Madrid,1982-03-15,NULL,Actualidad
Night Tempo,South Korea,NULL,NULL,NULL,Actualidad
Lèpoka,Spain,NULL,NULL,NULL,Actualidad
Mitch Coodley,NULL,NULL,NULL,NULL,Actualidad
Tycho,United States,Sacramento,1977-02-07,NULL,Actualidad
Milo j,Argentina,Morón,2006-10-25,NULL,Actualidad
Metallica,United States,Los Angeles,NULL,1981-10-28,Actualidad
maga,Spain,Sevilla,NULL,2000,Actualidad
Rauw Alejandro,Puerto Rico,San Juan,1993-01-10,NULL,Actualidad
Natalia Jiménez,Spain,Madrid,1980-12-29,NULL,Actualidad
Héroes del Silencio,Spain,Zaragoza,NULL,1984,1996
Bizarrap,Argentina,Argentina,1998,NULL,Actualidad
Hades66,NULL,NULL,NULL,NULL,Actualidad
Pablo Say,NULL,NULL,NULL,NULL,Actualidad
Arcane,United Kingdom,NULL,NULL,NULL,Actualidad
My Chemical Romance,United States,Newark,NULL,2001-09-12,Actualidad
Nick Phoenix,United Kingdom,London,1967,NULL,Actualidad
Sofia Ellar,Spain,London,1993-11-15,NULL,Actualidad
Tauren Wells,United States,Battle Creek,1986-04-07,NULL,Actualidad
Rosario,Spain,Madrid,1963-11-04,NULL,Actualidad
Lenny Tavárez,Puerto Rico,NULL,1987-05-19,NULL,Actualidad
Shotta,Spain,Sevilla,1984-07-25,NULL,Actualidad
Siggy Kim,NULL,NULL,NULL,NULL,Actualidad
Marco Tegui,NULL,NULL,NULL,NULL,Actualidad
Cole Swindell,United States,Glennville,1983-06-30,NULL,Actualidad
Randy Newman,United States,Los Angeles,1943-11-28,NULL,Actualidad
Big Thief,United States,Brooklyn,NULL,2015,Actualidad
Saint Motel,United States,Los Angeles,NULL,2009,Actualidad
Travis Denning,United States,Warner Robins,1992-12-01,NULL,Actualidad
Bad Suns,United States,Woodland Hills,NULL,2012,Actualidad
Nicky Jam,Puerto Rico,Boston,1980-02-25,NULL,Actualidad
Marlon James,Jamaica,NULL,1970,NULL,Actualidad
Ana Mena,Spain,Estepona,1997-02-25,NULL,Actualidad
Brytiago,Puerto Rico,Carolina,1992-07-14,NULL,Actualidad
Exxasens,Spain,Barcelona,NULL,2007-04,Actualidad
Phil Wickham,United States,San Diego,1984-04-05,NULL,Actualidad
SBTRKT,United Kingdom,London,NULL,NULL,Actualidad
Droow,NULL,NULL,NULL,NULL,Actualidad
Sniper Gang,NULL,NULL,NULL,NULL,Actualidad
Eli Young Band,United States,NULL,NULL,2000,Actualidad
La Casa Azul,Spain,Barcelona,NULL,1997,Actualidad
Chase Rice,United States,Asheville,1986-09-19,NULL,Actualidad
UNKLE,United Kingdom,London,NULL,1994,Actualidad
Jamie xx,United Kingdom,London,1988-10-28,NULL,Actualidad
Pacho el Antifeka,Puerto Rico,Cataño,1981-03-24,NULL,2023-06-01
La Maravillosa Orquesta del Alcohol,Burgos,NULL,NULL,2011-02-15,Actualidad
Swit Eme,NULL,NULL,NULL,NULL,Actualidad
Nosaj Thing,United States,Los Angeles,1985-01-27,NULL,Actualidad
Amarion,Puerto Rico,NULL,NULL,NULL,Actualidad
The Killers,United States,Las Vegas,NULL,2001,Actualidad
