nombre_cancion_album,artista,tipo_album_cancion,año_lanzamiento,género
Seventeen,Ladytron,album,2022,Electrónica
Crust,Flying Lotus,album,2021,Electrónica
Abu Simbel,WhoMadeWho,single,2021,Electrónica
Apricots,BICEP,album,2021,Electrónica
KILL DEM,Jamie xx,single,2022,Electrónica
Water,BICEP,single,2022,Electrónica
Polyghost,Bonobo,album,2022,Electrónica
From You,Bonobo,album,2022,Electrónica
Rosewood,Bonobo,album,2022,Electrónica
Using What You Got,Flying Lotus,album,2021,Electrónica
Lido,BICEP,album,2021,Electrónica
Tides,Bonobo,album,2022,Electrónica
Shadows,Bonobo,album,2022,Electrónica
405 - Metronomy x Biig Piig,Metronomy,single,2021,Electrónica
Black Gold,Flying Lotus,album,2021,Electrónica
Nova,Burial,single,2022,Electrónica
new body rhumba (from the film White Noise),LCD Soundsystem,single,2022,Electrónica
better,Joy Orbison,album,2021,Electrónica
The Room,Flying Lotus,single,2022,Electrónica
Elysian,Bonobo,album,2022,Electrónica
Come In Closer,Rhye,album,2021,Electrónica
D.A.N.C.E. - Logic Reprise,Justice,album,2022,Electrónica
Should be Fine,Weval,single,2022,Electrónica
Impossible - &ME Remix,Röyksopp,single,2022,Electrónica
D.A.N.C.E. - Logic Reprise,Justice,single,2022,Electrónica
Uneasy - Metronomy x spill tab,Metronomy,single,2021,Electrónica
LET'S DO IT AGAIN - Radio Edit,Jamie xx,single,2022,Electrónica
Playgirl,Ladytron,album,2022,Electrónica
Cicuta - Remix,Peces Raros,single,2022,Electrónica
Black Rain,Rhye,album,2021,Electrónica
Imagineering,Nightmares On Wax,album,2021,Electrónica
Discotraxx,Ladytron,album,2022,Electrónica
Blue Hour,Nosaj Thing,album,2022,Electrónica
Atlas,BICEP,album,2021,Electrónica
"Oh, Lover",Röyksopp,album,2022,Electrónica
A Brand New Start,Ross from Friends,album,2021,Electrónica
New Fires,Christian Löffler,single,2022,Electrónica
QUEREME,LOUTA,single,2022,Electrónica
African Samurai,Flying Lotus,album,2021,Electrónica
FORWARD,SBTRKT,single,2022,Electrónica
UUUU - &ME Remix,WhoMadeWho,single,2022,Electrónica
Things will be fine,Metronomy,album,2022,Electrónica
Love Divide,Ross from Friends,album,2021,Electrónica
Falling,Daphni,album,2022,Electrónica
Right on time,Metronomy,album,2022,Electrónica
Things will be fine - Bratty Remix,Metronomy,single,2022,Electrónica
Shadows,Bonobo,single,2021,Electrónica
Otomo,Bonobo,album,2022,Electrónica
Lambent Rag,Clark,album,2021,Electrónica
You Can Do It,Caribou,single,2021,Electrónica
Pain and Blood,Flying Lotus,album,2021,Electrónica
Tides,Bonobo,single,2021,Electrónica
Love Me More - Clark Remix,Clark,single,2022,Electrónica
Champion,Warpaint,album,2022,Electrónica
LET'S DO IT AGAIN,Jamie xx,single,2022,Electrónica
Quiet Corners Of My Mind,Romare,single,2022,Electrónica
The Ladder,Röyksopp,single,2022,Electrónica
Age of Phase,Bonobo,album,2022,Electrónica
Movement 5,Floating Points,album,2021,Electrónica
FAST LAND,Moderat,album,2022,Electrónica
Between Memories,Flying Lotus,album,2021,Electrónica
Sounds Of Blue,Morcheeba,album,2021,Electrónica
Only Love (with Brijean),Tycho,single,2021,Electrónica
God is A DJ,Faithless,single,2021,Electrónica
Silence & Secrets - Black Coffee Remix,WhoMadeWho,single,2022,Electrónica
Safeword,Rhye,album,2021,Electrónica
Ritchie Sacramento,Mogwai,album,2021,Electrónica
in drink,Joy Orbison,album,2021,Electrónica
From You,Bonobo,single,2022,Electrónica
Flicking Your Switch,Ladytron,album,2022,Electrónica
Siena,BICEP,album,2021,Electrónica
The Daisy,Ross from Friends,album,2021,Electrónica
Impressions,Portico Quartet,album,2021,Electrónica
"Drone Me Up, Flashy - &ME Remix",DJ Koze,single,2022,Electrónica
Atopos,Björk,album,2022,Electrónica
Stay Awhile,Röyksopp,album,2022,Electrónica
Like Sweetness,Warpaint,album,2022,Electrónica
Beautiful,Rhye,album,2021,Electrónica
Spectrum,Max Cooper,album,2022,Electrónica
Rosewood,Bonobo,single,2021,Electrónica
Pray - Chris Malinchak Mix,Booka Shade,single,2021,Electrónica
Survivors,Flying Lotus,album,2021,Electrónica
Moth,Burial,single,2022,Electrónica
Caracas Way,Manybeat,single,2021,Electrónica
War at the Door,Flying Lotus,album,2021,Electrónica
Stevie,Warpaint,album,2022,Electrónica
Saku,BICEP,album,2021,Electrónica
Carrusel - Radio Mix,Jimmix,single,2022,Electrónica
Innadadance (feat. Suli Breaks & Jazzie B) (Meduza Remix) (Edit),Faithless,album,2021,Electrónica
The Limit,DARKSIDE,album,2021,Electrónica
Nefertari,WhoMadeWho,single,2021,Electrónica
Impossible,Röyksopp,album,2022,Electrónica
This Cursed Life,Flying Lotus,album,2021,Electrónica
Your Lord,Flying Lotus,album,2021,Electrónica
Miss The Days,SBTRKT,single,2022,Electrónica
Send Nudes,Warpaint,album,2022,Electrónica
Sot-l'y-laisse,Rone,album,2021,Electrónica
The Lonely Night - Reprise Version,Moby,album,2021,Electrónica
Fagurt Er Í Fjörðum,Björk,album,2022,Electrónica
El Brillo - Radio Edit,MËSTIZA,single,2021,Electrónica
Closer,Bonobo,album,2022,Electrónica
Blind Date,Joy Orbison,single,2022,Electrónica
The Darkness That You Fear,The Chemical Brothers,single,2021,Electrónica
Another Girl,Jacques Greene,album,2021,Electrónica
Day by Day,Bonobo,album,2022,Electrónica
Ecce! Ego!,Leon Vynehall,album,2021,Electrónica
To Feel Again / Trois,Jon Hopkins,single,2022,Electrónica
Drifting Out,Little Dragon,single,2021,Electrónica
Cicuta,Peces Raros,album,2021,Electrónica
Counterpart,Bonobo,album,2022,Electrónica
born slipping,Joy Orbison,album,2021,Electrónica
Pulses of Information,Rival Consoles,album,2021,Electrónica
Breathe - Juicy Cola Remix,Télépopmusik,single,2021,Electrónica
Own Me,Nightmares On Wax,album,2021,Electrónica
Quiet Corners Of My Mind,Romare,album,2022,Electrónica
Ovule,Björk,album,2022,Electrónica
Nest - Portico Quartet Remix,Portico Quartet,single,2021,Electrónica
Alichea Vella Amor,Leon Vynehall,album,2021,Electrónica
Enchanted,Flying Lotus,album,2021,Electrónica
f1 racer (ft. KUČKA),Mount Kimbie,album,2022,Electrónica
Me&Youphoria,Röyksopp,album,2022,Electrónica
Sachi,Flying Lotus,album,2021,Electrónica
World Turns,Rival Consoles,album,2022,Electrónica
Problems,Floating Points,single,2022,Electrónica
Liberty Bell,DARKSIDE,album,2021,Electrónica
Kurosaka Strikes!,Flying Lotus,album,2021,Electrónica
Fighting Without Honor,Flying Lotus,album,2021,Electrónica
Sapien,Bonobo,album,2022,Electrónica
Fossora,Björk,album,2022,Electrónica
I Need Someone (feat. Nathan Ball & Caleb Femi) (Yotto Remix) (Edit),Faithless,album,2021,Electrónica
Your Screams,Flying Lotus,album,2021,Electrónica
Koko,E.VAX,album,2021,Electrónica
Where’s the Girl?,Flying Lotus,album,2021,Electrónica
If You Want Me,Röyksopp,album,2022,Electrónica
He Took Her to a Movie,Ladytron,album,2022,Electrónica
TTHHEE PPAARRTTYY,Justice,album,2022,Electrónica
Swimmer,Gold Panda,album,2022,Electrónica
Natural Blues - Reprise Version,Moby,album,2021,Electrónica
runnersz,Joy Orbison,album,2021,Electrónica
This Is Not Our World - Ce n'est pas notre monde,Moby,single,2022,Electrónica
Condition,Nosaj Thing,album,2022,Electrónica
Hard To Tell You,Warpaint,album,2022,Electrónica
Lilys - HBO ‘Made For Love’ Cut,Warpaint,single,2021,Electrónica
X,BICEP,album,2021,Electrónica
